"Member","Staked (SHITMOS)","Voting power"
"osmo1dnl83rxxgg29d7zgwam9sldnr6chtftds2upav","1600.454937","0.09114570824193974"
"osmo19kh5z7ujuuf4vlrphecw50vgywemdd7x9snckd","1550","0.08827230589811139"
"osmo1mlawj53xggwzy6v0fpgdycuyfhefswrvak3r0w","1545.240904","0.08800127597687883"
"osmo1qyfhmkmphr9vsfjgrgvch65vklec3k5yyt69ru","1500","0.08542481215946264"
"osmo1m7fp3yd2r5h2u4uu02m6nstceranss8vjh6ekx","1498.619414","0.08534618795964931"
"osmo1zlzqugu38wv4my0lfyltvfnfce5l5vtv0q7far","1380.384462","0.07861272224946059"
"osmo1c92ae0rglw6p4xxpt30lqx08mhs7sgh4tutw67","1300","0.07403483720486762"
"osmo14eaylprxd5gz6dgxymc3uhnvass029esxk94z4","1235.023048","0.070334407925338"
"osmo1zqrqju2txhnnwtgn0d2jutnassmg9733kdh0dl","1186.841893","0.0675904971816707"
"osmo19k3l0z5txzv2w3kr28lhs49dfd65sv6324dlll","1122.701309","0.06393769895500521"
"osmo1904h4pkdezcm7xcxrcum7cckr4wel3ka3qlg7v","1024","0.05831667176752649"
"osmo194swukntjr22803e7j73tssvcnrchpg38r66ve","1000","0.05694987477297509"
"osmo1ejg47nax3ql39hd9zxhnuwjjquzn8hm9p7gk54","900","0.05125488729567758"
"osmo1mge6lnd88kvrm0t4088c72q5ue33qhsyz5c8ed","860","0.048976892304758574"
"osmo1am80fauk3gnzcr76ylg0yju4f0chen5xmkay5h","832.507402","0.04741119229147483"
"osmo1yfgvyv3jxact4l6vkdfs0kdtsfvkd0chmyfeku","801.474594","0.04564387776202105"
"osmo1xs5qu2phffkgyge0dfj8cparwa9wun26h5r7fx","778.610827","0.044341789094532576"
"osmo1zcy7h9vpj2g4w0xw3ta3ky977z6e6ht0d2jl4j","730","0.04157340858427182"
"osmo1ft36e9dssdrgengqlefn9z4mgw24c80gag0fga","666","0.03792861659880141"
"osmo1tnyrxmdk6jtw8vqsq74z8t8y562mgcf7ewx638","589.640784","0.03357996880983886"
"osmo1aemxqhtvwney5kajlprh9ssjyhpakytmj7n5nd","500","0.028474937386487546"
"osmo1k53jk7cyqk8rcwfd7a5x3t4jwnds62glvwlpds","490.178672","0.02791561398678323"
"osmo1h7teyuhpl7mecaqrw427qjqzkzmz58e2t5d99s","450","0.02562744364783879"
"osmo16jkfqmtzt8uxm0jkhrxc93k9rvmnthf4x7nlmd","339.443879","0.01933128640150291"
"osmo1qaqyew9epj6tamypqa3hr0hxn2s5n3hte2j6lp","283","0.016116814560751952"
"osmo1q9kkh0wj56mckpu0m2skfkws8leeg2duz90sve","265.06","0.015095133807324778"
"osmo1e0v5qu9hknmtpy3ha0ye9vh2pqvsdn8hhmjngp","246.005569","0.014009986348004481"
"osmo1cy9jhuf3cx2z33duxld7p57gtege6hfhzs6m3z","225.773415","0.012857767711316935"
"osmo1mw6l2gd2l0jt8phz7yz5l7vyfl4h2qpkytd4r2","205.772381","0.011718711329686918"
"osmo1k9ng85nlhlc94865c3c0znygr7h3kre5xv066t","190.02","0.010821615204360728"
"osmo13dysgqft5q2q7a0t0skh4kxe5q4uxpvy7yfulm","163.196063","0.009293995351292553"
"osmo1zvgz5ryz3rn0slt269cpqvhx8k63jpzf7pgvrj","156.874567","0.00893398694571469"
"osmo1rhf8wp7m7htjr0elpah46adkhc3sm28s3q5r3w","155.4","0.00885001053972033"
"osmo1esv20mwvedun93ysekdeyk3x5ckeqcnj6v7e5e","145.096635","0.008263235193230075"
"osmo1d3fu8pyz7adyr44fv3f920rr4ym60r9q8p7yxj","137.72161","0.007843228443032514"
"osmo1z5x07m62laz6thm8quanqgvg42gz99s8dkasad","131.050889","0.0074633317174370595"
"osmo1zy8h876v28xpjjrzaepgyczx844ml83k3lxll5","115","0.006549235598892135"
"osmo1wryt0g4g7h8eldzankzpx55kraljjepxvzn9pm","100.100001","0.005700682521724681"
"osmo1hdsmz2kqftgk2ypa5t62aauvl0y3c2nfzvy6re","100","0.005694987477297509"
"osmo145vs7fa0lxkr8dps5cfs47pty5j69g7wewu6kn","99.24","0.005651705572470049"
"osmo1pd0px3mg76qgp7rxe6pua90z0ucsd7zlha4l43","84.513598","0.004813038822713558"
"osmo17wy9j4knsn8uu766s5343uvvw63d3duaecjys2","73.430115","0.00418183585381516"
"osmo1zx3wcr0yxgc7dmu303932srldw8c69p8y90kyg","68.52","0.0039022054194442534"
"osmo1pe8hvlgd5ae3k9r99k569egc8rwujnj86nddrf","57.74","0.003288285769391582"
"osmo1mq5h3eqqv328ylxevst4m6ugjgeqpm7y00z88n","53.28","0.0030342893279041126"
"osmo1037w0kq7xwv87sg52qahwswsnreqng7ql0y52e","50","0.0028474937386487546"
"osmo1hzqwj0fj2fjf5wgtwfr6suy07xfud3ks3yska5","42.18","0.002402145717924089"
