Member,Staked (SHITMOS),Voting power
stars1vce8nxgqdd02hkk63mzh6v7dhk3grputu5q2yl,2,0.2503128911138924
stars1yfgvyv3jxact4l6vkdfs0kdtsfvkd0ch8rd5tl,2,0.2503128911138924
stars1ylm75gruqyhfg5dkeh4k53xsfqlumzr2zdrhg3,2,0.2503128911138924
stars1z64amnsgslu3aqtqs8a37x0e7qt2tuc3kthfdx,2,0.2503128911138924
stars1z9r97htdqtgnulcuxenxfdt6hhv7twj67t2fvv,2,0.2503128911138924
stars1zqrqju2txhnnwtgn0d2jutnassmg973322nzsu,2,0.2503128911138924
stars1zvd8c2wk0dup5rxctysa6p0y6ruu0c34np0s8p,2,0.2503128911138924
stars103ng3kpznx36n0qcsslyytjj6x3fmz5uu7lv0a,1,0.1251564455569462
stars10fcj8q4y8hx4d252rlce0c9xzyemzchrs9dnpr,1,0.1251564455569462
stars10grfh2ayswcdxgs5r0m7l48uj0u07wzdemazre,1,0.1251564455569462
stars10k3ej58ksatnn7qa25ehqhadx39evecxyxku39,1,0.1251564455569462
stars10mkczsrf8snhdhazkf7lav2hjdctyupv8q26en,1,0.1251564455569462
stars10u46uacs9atcdlsh92085lkvwaq3yn9vnqzxtf,1,0.1251564455569462
stars1264kuu3yy2frmun6dvkuqky7cwyh3lsg9za7a8,1,0.1251564455569462
stars12mcpgjumqzuaysnjrj0dcdgxaeunnmer2adq64,1,0.1251564455569462
stars12wxatkj8fn0j6ss3j4a4t7v48y6pfm3ls3tynz,1,0.1251564455569462
stars1343plscwt4r4x5f9kpmm0r9ev3ulj20v250797,1,0.1251564455569462
stars1370u2pusfh32gvj2ms2jrqe3svz9a6spjress6,1,0.1251564455569462
stars13u0swjkxspchjzrftaa5v60rcagj35lqdegjlh,1,0.1251564455569462
stars14284ehke0fldhcam23pq2zgfxdru9gyv5u7t3a,1,0.1251564455569462
stars144r0f2vw8cylhncykf683m0mvx5nclmu3mmwzl,1,0.1251564455569462
stars14cerj3vkfl7leynpl0784mxdt2707r0wpjcvsy,1,0.1251564455569462
stars14fdskzl05eqvt69stc4x4fdgch93hf6me83uze,1,0.1251564455569462
stars14jujr4ja3cgnnczpxdyzs5u4672gsckg2qgl3v,1,0.1251564455569462
stars14m6vd4kdeh252f4azpw2eajyl9rrh9rc5vcvma,1,0.1251564455569462
stars154d6fqzedwa94vt3p5ftygjsxwrkt5lukuln82,1,0.1251564455569462
stars15ku5u2vwh607hg54qam80c7rymxddgf49a7667,1,0.1251564455569462
stars15qypa0nx5yn2jdvms26fcejra6axjdea6nyk4w,1,0.1251564455569462
stars15sz727cdzsgepw2aqc5slq0qj43ladju4jp86f,1,0.1251564455569462
stars15zak4z4ex8lhfxryr7vumcwxeufsauaj4um3xr,1,0.1251564455569462
stars164k8puh25lm0edzq7cfjqm3426xfv8hmsznpwc,1,0.1251564455569462
stars179y69yj293rwj620e9gytsjlcr0ycgvytsrfka,1,0.1251564455569462
stars17gq57ef88jdhf529uel4zxrd0z30nae2d4e2nu,1,0.1251564455569462
stars17k9ask02js28ahprtgrcgvtny5dnarhv27uk97,1,0.1251564455569462
stars17kzy2pya7d5anuvnh0evnq8dgjv32yv3fd5n96,1,0.1251564455569462
stars17qf82c3xhuf2gxwam7fp48x657fcyt9arzvyf6,1,0.1251564455569462
stars17wkmzg6t3xqwpr9x847k3y2gm2nrw9cqmejkr7,1,0.1251564455569462
stars17wy9j4knsn8uu766s5343uvvw63d3dua9lkfdf,1,0.1251564455569462
stars17ykal3ydtl35a4gwp3erf3u7aztp7hsq55p9p4,1,0.1251564455569462
stars180phhck72hqkkfygyn6n77p6hvg6749fqfteqa,1,0.1251564455569462
stars186psvp8ykv6zgcemtjryqxemg366727ulerdyz,1,0.1251564455569462
stars18cr64r0w9yqf4v2v9h8g2h4qdgpavaetkhymkc,1,0.1251564455569462
stars18dp9dvrvawfmwuvqshsk36lmv23adlq04ttg2x,1,0.1251564455569462
stars18fdu02ufsmak66z4qnm6u6es3ztkhdze4ewapl,1,0.1251564455569462
stars190fxhdy90njdcvfqdqm4twzt2jhnxcf4h6mlzu,1,0.1251564455569462
stars194swukntjr22803e7j73tssvcnrchpg3my7h36,1,0.1251564455569462
stars19enueunlxe28kf6csmnljsajwv5zld3jx6p2vv,1,0.1251564455569462
stars19gtsclg40ala5f7u855w3klykt4rjly99ye9tl,1,0.1251564455569462
stars19k3l0z5txzv2w3kr28lhs49dfd65sv63kjfjzu,1,0.1251564455569462
stars19yssr677uxtauv8hpfg4t4ystqx4dj9xsqvpfl,1,0.1251564455569462
stars1a0e0jhy74rct0ghz7yavazrnkpfza0jtcaa0rc,1,0.1251564455569462
stars1a54h7el7rgjhn6tj3sq2mtwk77gy2rdwp2ncgr,1,0.1251564455569462
stars1ajf4hwya6e3wyqcdz85ltes22y68dtm8wtyytw,1,0.1251564455569462
stars1aq5yv8pqghxtpwngmfwy33wpudkjz5vvhelanw,1,0.1251564455569462
stars1aug5n9fj784f4an5fhmvxydrjxunz2jnt8e2mh,1,0.1251564455569462
stars1c89k3tqd5lw0u06a4t82dkhxm48g5kyl525rlm,1,0.1251564455569462
stars1c92ae0rglw6p4xxpt30lqx08mhs7sgh4hm0r8a,1,0.1251564455569462
stars1cd62c5yc5nwhxl77knvd6zzf8jfuy7r4jsakgu,1,0.1251564455569462
stars1clkntu4pqp3rnz7j0rw7puk3xq3rv2x9pvye45,1,0.1251564455569462
stars1cmp6q7d3humzn4h8smuravewwaa270f4pq8jc0,1,0.1251564455569462
stars1cs0ysv4l5rk6h3tayrza4x9lphk8dpjv87xce8,1,0.1251564455569462
stars1cuxhyyxl49e3kkadp6wu8sfdal6mxemsm6hjcm,1,0.1251564455569462
stars1cwhcqp38tdhx8c2ywltrsyhed9kp4t0wtvssu6,1,0.1251564455569462
stars1d7qzele2ssqmg034na2gvgghxg5fxa0waewfgh,1,0.1251564455569462
