address,amount
stars1mv92895xlsw2xmdkwey5k4cfjhhky6u5t5l3hj,1
stars1z3pm4fkxyqzgau5qr2q4en425qgketktcaejth,1
stars1f4tfssdyvjuutm4s8w770nhek2f6f7yvt4e78p,1
stars1ky42lgprs3zr8299mgezxp03yrldqhhesvuqse,1
stars1q7pdf8eqhna9x26xjngsrqeg00x4tsq2qp6zda,1
stars1ap9grs6tr0fjlw58xwfszxa3txdu5hcjjucv7t,1
stars1f7p5ukexeutewgh4zrrew3k0x2vmztj67kvefs,1
stars129e9nqhpupsl9rxmd9t0ehms363ghyyeum49zr,1
stars1kwksnys3cnjqp6lt88ef2ay46jl5jaufldl9y3,1
stars1d74f6c7rgyyym57530rc2tt88fnl6wpdcpz6ta,1
stars1n86zrd6zfwuyl2s69ktyzukjdsdyednlg2a6ez,1
stars1qfd38va9nxgzt8ys4zxtrvmplpqhmnnz60tylx,1
stars12hrhl7jv3jsdpknm2402c9cr0ksfzpexr6c2h9,1
stars10pujzxn9k3zfkxp5vt8v09gtfdhayjx8dath0p,1
stars1lwsv8vaxpsxqx6g3dew5ma6hwdr4t6nhuu4pzw,1
stars1jzekzshmt7hurf5j0qkprnv0tnrj9mc0ulvpdk,1
stars1sxl0vrx60x82u5krrjwcde3alsughpf8uflpja,1
stars14ek8x7prpmrqhvvysumqzhapl32ku7erru7vcn,1
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,1
stars1m3yl67vexemvlkwfshy9szyv9ppkz96z40rf0g,1
stars1jh0dqtg9zmlmxqys0nfwdpkvvvk59n4z4g57h4,1
stars1neqprx4sd0xrs4snn2q9ccchg6ksva3p0vxcfl,1
stars1zhv6enwzn04gsx70755xluxs6n62fwxjzaea4c,1
stars1mmautp4x5qgfst0altvt85h7hwfwpsd9clhpe4,1
stars1e5hrgj6ud2v5mptvksjt3c42vy5snyd5sqd03w,1
stars14ekmnjuvqx9k2kjpmy5p2s4gklszfkcw4w4mek,1
stars1uaux0dl3gh40y9czng2eqn2d52uu8afvylv8u7,1
stars1vm9pftrc8ppasxpx7vqrrc5zmdrru0h6x0xu4q,1
stars1xjdw82tj8zmfvxe2ynw20sgqfr9tu6ak66jpty,1
stars1chlpr5rzmk99ctx082ekeh4zscvjjeca0pm0e5,1
stars1gnjccn9t2psrvwzm8u0rswnpeg6ltengzeyy0f,1
stars17qrfgsyepv3mk2f29jkvf0y7q0fnyx7dd78l5z,1
stars14cz4xzkzfale5f4gp52n6mpp5ztx2ynzzp6p94,1
stars1hwuvhvgpga8n7p3tdfductq23aegnge7uvfx9w,1
stars1yjh55mu7j58s8z9p604ltjefg36nls29dugxud,1
stars14amduhjazqhwtkhm6kutdcy4ux5zazf5shrlpy,1
stars13s7vekg5x3ycj9d5lus4mgh8fh4zylvs5yfvnx,1
stars1psdhnw746sej28ruup7uyk8ym227zl6egv302l,1
stars14szcsqlwucecyn97g730qsnsq0rg68zkxnhqzf,1
stars1xf4n5alscmyuhuyv5elnpns38lf64u8yy7rc9c,1
stars1mgd8tgkh4heyfz4cqfvcgwpta2f4ymm4swguxu,1
stars1u8xff6p6p4uunrpha6m7fskv6j5z49qhc7cjk8,1
stars1nt4gud8r30l76hehhfxftklc8d3t3cv056myzj,1
stars1l4kzcv0asqxsgtnyf7gkedv7ek7d4wpkxqhjly,1
stars1ukt0cg3g72dl83gxff82qkldz9gxqkml47pztl,1
stars1swju37pm33rp8tpwj3zknh6zmd9gahem0g4uyn,1
stars1sum6grjhf5vm25yt7s7las83805zaf3w5g0mqc,1
stars1xt2zcdhdf02jx5csak4t25lygfn4rwg7r2z2rz,1
stars1vzcy66ls4pdjqtscr077559frlsatfzcwj3f4u,1
stars1vurpksphqraat4cxs72p6m7vekg4e0ujd9kgx6,1
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,1
stars1p6p0wwcgxj9alaj27f2ggzp7zsx307slp0cnff,1
stars1ejg47nax3ql39hd9zxhnuwjjquzn8hm9aevmfk,1
stars1agn6f0dsw22zda0kvrpadlspkrudmdlu5krk74,1
stars1z84x44mz2vye25vxkhlp4malu6ktuk7u8zmvnz,1
stars1szq6y76wqkcxsw2tvugka3zq483yf60847x4ll,1
stars1akkxnrnmy2c5sazxyz22e8j0p7984y9rz2w78n,1
stars1ap6adasc8tlumd9a2kwvaprf0x6wf4s6sj5f6a,1
