address,amount
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,3
stars1s2y6cdj3htw3pps4u4duktlfkdwke3y6vy33wx,3
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,3
stars1v6umul8nun2xaml2y24zrhwc3gx2lv38azxkgy,3
stars1hdsmz2kqftgk2ypa5t62aauvl0y3c2nf7tqh76,3
stars1ypv9h04t20uck5w5d43zvcua0vxlgxf6f34622,3
stars1n86zrd6zfwuyl2s69ktyzukjdsdyednlg2a6ez,3
stars14ek8x7prpmrqhvvysumqzhapl32ku7erru7vcn,3
stars18hj0dztsqyarjvfa30d64csj3ms06er3a8cjg3,3
stars1aq5yv8pqghxtpwngmfwy33wpudkjz5vvhelanw,3
stars1yjh55mu7j58s8z9p604ltjefg36nls29dugxud,3
stars1wql7l67hc27zsthjvzwx8l3ezy8cx3xjmw05lm,3
stars1sfc34ujkys84eeqmegm7lle955y3edyt5gf4x3,3
stars1vzcy66ls4pdjqtscr077559frlsatfzcwj3f4u,3
stars1z84x44mz2vye25vxkhlp4malu6ktuk7u8zmvnz,3
stars1f7p5ukexeutewgh4zrrew3k0x2vmztj67kvefs,3
stars1saxd6s0sszru4ut8cwl8q36e8pu8zksrcwyx3w,3
stars1qttmfljc3qcerypthjtxw4a8675xcf9ht0a9tt,3
stars1p6p0wwcgxj9alaj27f2ggzp7zsx307slp0cnff,3
stars1vl0qfa3gkm6hlqpdhe244kw7398y9pjaw9mycz,3
stars1jjlltckj572cdscmhl5wg0dwprvn3ax93qa0r5,3
stars19g4h644j3z3dd98c0lg0xmjex8axerrgum8rel,3
stars1mv92895xlsw2xmdkwey5k4cfjhhky6u5t5l3hj,3
stars1crckdhfjpq4rn2prnf484fk7n239qtnmfu7hg8,3
stars1cwn5pjafwva29z4f6pkj9as3ncx5kq6nwpqpvj,2
stars13s7vekg5x3ycj9d5lus4mgh8fh4zylvs5yfvnx,2
stars1waac73cpffx7suhpkvnn8w0a8s2cgzn6dffnrt,2
stars10xece20sfz2d67uxx70w2y3m3cpmtglrc6qn7c,2
stars1lqrna6lf35h82dp295d97gwz33qsr2d9sznj7s,2
stars1c92ae0rglw6p4xxpt30lqx08mhs7sgh4hm0r8a,2
stars1gxzpkykqhhkrm0ep48aw8q2s8czsuwkl6rltht,2
stars1gtl07cju7rquwv7swwaah9ygxza27qwdjlfaec,2
