Address,Pool,Amount
osmo150jkrlp53fqrj4kmzpk9pzk5geutekm625awv7,2286,7635588038135763434
osmo15e47t2utfx4ryweyxdpj6xlp4dtcvkx4sehnfa,2286,112418486771641823423
osmo15ucydnzg76mlt6kc3j4qmqtxh733k383mdazmp,2286,120052140265879274
osmo15akaj4c9ceds7wc86tfp6zj3xutmr0q63grxeq,2286,4504820574160688828
osmo14qnswsv5vk6ylrl5j43lns8rp8e9th9t5fzgx9,2286,62220034634840645092
osmo14pq92zrvgac2uga3rtttyla32gx7vudvwhzx4u,2286,3921905820352780
osmo147kcrl0urz8dep3sv2znl47tpulnh9xj9ynf4s,2286,94557800405502112221
osmo1kqh9v54k9qvrz5ggplndzlgynflk2n33fylu8m,2286,250322694571716094
osmo1k89tmfrl2cs46tv6n009kd6l4ury8493dv7lqg,2286,497971296404960361
osmo1k0l8vczkgy3av3tn05dvnc87se60gaa9sqaqm5,2286,5648702923496122400
osmo1k5k4c6fc7qcz4l7msd0m9gdp4rd9pzcm8z26y6,2286,415742424015149320
osmo1khfrzy6fgpxu6a7lzj7xs43rsmr4r8tyxpdcjl,2286,1163248886906558542
osmo1kmsteytxueay4s33567yqtk8ra8en84a3u4e0t,2286,6079265244815317959
osmo1ka0nh4qaede8wwnkhd9h0ywxw8jquy7kxsxnhq,2286,10213269402525345185
osmo1hj6yverqfchhvystklt5jvf5wanyjfufg4rvmj,2286,395713235557443605
osmo1hmyz62l08pzy8zghqsasjqsrnqnlpehfsdxqcq,2286,3036857744476455674
osmo1cprpmtj3k9artk40nvm5xd8asqqm0gq5l28lal,2286,137499463453101734
osmo1eszvv9x52xsypdr3h5p7yrsafld68s2092ec30,2286,50398626899722859268
osmo16pfkyl4a3uq239hr5cleje768m4nmnxtfnnzrz,2286,1401850207970539285
osmo16vh6tnpa48nd5stqs9y42vsqs5609kpfqps2h0,2286,24066307434812726920
osmo1mpqnv6mpzky3q3qfxunah7dafp539cmqe3d6ny,2286,7435264745218365851
osmo1mg5lpnxjppqd0lav8ersm89l8k8ynznke8muzu,2286,1687613880993290625
osmo1mvnrqqu7pc2q04y6fwxemzqphhw4z023dx92fd,2286,1407303523681827922
osmo1uxthxgqhmxaqlh5u6990j48x5y0u2udf95krd5,2286,611231724283541552
osmo1uvnk984yhpw48jfu5srvsrqdt03kkvlcjqx8x5,2286,249691325496945610
osmo17yrl86ehlhuzx2legtfuur7x2wnzvdchjgq9fl,2286,538059310534477148
osmo1ds27v089juh8jag0qzjzqx0ayleyhspq0rf3lct26hwtt46229rqqfsz3t,2286,1897617037442750764
