address,balance
osmo1p80cpg464u48k7hr3a6myeu4s3ngr3t8eff0jh,3154.830263
osmo1pgr56qx9qwf7979uq48vm0jescdu2kglhzpzsf,66797.19471
osmo1pg23whjnnheuuq83qy9ehap9md28jzdfn68phz,804.130097
osmo1pfzryfwgkmwlr6zz3gj4h4kwkhulgm9zycq7me,121.730583
osmo1pfsmlav60zxplnn4wm5ujxh26yuwd55q9n8utq,2784.920431
osmo1pfa85tuef64m39l5yvvep00rqn3dt4pm9mkl9v,320.896923
osmo1p2hursqfpm8jnxwey0l29vvd9uh3hgww4sg5mc,80.141157
osmo1pt4wl4y2pyqpcd4zh7u4j3v6gm262knfy95mle,1e-06
osmo1pvxyrv9947p593kge6tq8agpryktfgf5cdjh6z,7815.434913
osmo1pvjdpz5t23hy7wfv30cj03hhs3rufkpfew85sp,3583.9032
osmo1pdqc0zvhgzxwmam5fl8jdpys3kdm55p5zazv8g,1886.612418
osmo1pd2wkd45zt67v3esjlphk48pdlqqxqtce650ux,53499.694081
osmo1pdt3hl4ef0g9v80xudh6m80a7ryqnzmxm8klra,1145.139507
osmo1pw464z2ygzm2za7f4xnw9zlldewlhxy56g3ry5,33122.601679
osmo1pwm2dzlhu5ly960kj3d3fwrshr4h2d37w5hqxx,77744.857115
osmo1p0xc8vz6m72velt8xera2quz3xs9ee6c3hullp,11182.490535
osmo1p0804k8gw5ty5a2h6h63syfde59cunvmgwfysy,523011.66641
osmo1p0uesu8nf4fgh8xxmper5gqthd4wz6xtkyg24c,2584.728357
osmo1ps8nmewv8pjhtj62hn4r5myp7ar3zzh8mqa8d7,1e-06
osmo1ps4jynqdt8u54pemp6xyqksr4vh0j84mduv024,2000.0
osmo1pj7yf5mpm6haw2uw9v6ws76cytetacvutn84yd,100000.0
osmo1pndf8qxa5te9al92t849qr20h5zqj0gjmyx9ya,1e-06
osmo1pnjuug8j7mdmus54kd82fjnjfw2m4r2zan6vhm,24999.777983
osmo1pnkppj52amu4ejuhlmqnmf27k0klasr2n0jcvq,2.8e-05
osmo1p5pfjzm4lhj9vra4a53k0w7pspe9dpu3d4g7z3,10001.0
osmo1p59rhlurlhm2qrnyeflg2dwnzdv9cxqdktgcrs,2017.240468
osmo1p5mu4yjtx03h5ltp32v02pak5fcf9z7rwvt0ls,172.827747
osmo1p5als07xw4h4an92wgvpnajasll9p85rqvlhs4,1389.140779
osmo1pkxj3slc78j4uc8gas58tzynrma9gs74my4qny,11984.017079
osmo1pkfw9nhkrx02kxf06zah6hel835lm3720qma6f,35.430062
osmo1phz4pu82h2jp8nltxcanhnq9v7arlmdvwanl4v,0.472126
osmo1phgphwj3cj0rk402g7lsmct5da8u2xkm58f634,0.339799
osmo1ph402ry55q8ravgl2a9z4zctvrcmz00vdft0hf,64.305123
osmo1pc5k0f72skpxpphycpxmv4zfzg8dpxhdd05dkg,2000.0
osmo1pc4rzspkwmrgnkl7sy9wcs8v4x0qx3vd00d4ye,1e-06
osmo1petm2q9hsar3aqqdfpzl8m3dajhgc22hwdjdsa,5049.705176
osmo1p6dw8n6l9jax6rfkjuc0my99zwgc7ffnkqj0ag,2000.0
