wallet,nfts held,10 or more,AKT distro
stars1mdw6c4uw8kgj2elve6nk3s4ntl052gt84l7vy7,1,0, 0.684 
stars1j29q4d87h33fq5umhctnj23lhsegvnfpxsx872,1,0, 0.684 
stars1h0dg3qgvw3y2fwtmzueg8a4gspm3p8qd96zxa3,1,0, 0.684 
stars17kqu88e5dyh0n400a9f0umqdfq9ts0y6r9lpz9,1,0, 0.684 
stars12a5t5rmcw4xqcl6ta9s4et49zhykqsncgnx68h,1,0, 0.684 
stars1sypqufzxkqqmul7g8f8xz0hjfkgsj9qu7mzddq,1,0, 0.684 
stars1p9hsmt9z6pt008v9rdfq5vv3pkqvnkrlrge64z,1,0, 0.684 
stars1qj24duph5vgtwxmfnk6ecgcw0k9z8w3fkhr8ln,1,0, 0.684 
stars18e4fdwr23h9j2e6uucvuzsx9gwhys3q07c2jgf,1,0, 0.684 
stars124xtvj9ev3760q33ecam090xs33j8a833mvthz,1,0, 0.684 
stars1qp47ummal6vlmwa9a6yznwhpdhfdea5rk4g7uq,1,0, 0.684 
stars1wvgwyvqh7gwus8m684jhdhzs85fgtvj26tm8dg,1,0, 0.684 
stars1yz4wmwawc50755s5k44v24cqp607yawmxa7t69,1,0, 0.684 
stars199dm0ugv50k4qgcsxjc8p2rertstltxvkddcc6,1,0, 0.684 
stars1ssgz49n7a6uc0xvxwmx59t60mgktnk23musf5v,1,0, 0.684 
stars1d49fac9f3d8s34t8kh7v69uk37hwz4nzv6nn9c,1,0, 0.684 
stars16fg5tyhezfzr0wekffxwwj9sj2nm7432f34xf8,1,0, 0.684 
stars1sapcsmxdaccwazmw3v3y3sd2pqn6tpnza2r85g,1,0, 0.684 
stars1rxhu2cwy9z9xxeqshznnx04w098cz2vpzwwkju,1,0, 0.684 
stars1vz6m8yz99njl7yjkhu76ea69hk75mera9um0wp,1,0, 0.684 
stars14m8ck60lurr7wfz2lgezzft2magr68p939umql,1,0, 0.684 
stars1vn0zhm5kaph5736ys5gykglz5ccvjt2lans74m,1,0, 0.684 
stars1fxgj0ekxqqe9p2jj8a4q48ann7w7n9zs270t5q,1,0, 0.684 
stars1ns8w45q5luacyeagfy4zj98ajxz34wwllhyf9m,1,0, 0.684 
stars1chlpr5rzmk99ctx082ekeh4zscvjjeca0pm0e5,1,0, 0.684 
stars15ucydnzg76mlt6kc3j4qmqtxh733k38382e0xz,1,0, 0.684 
stars1jjlltckj572cdscmhl5wg0dwprvn3ax93qa0r5,1,0, 0.684 
stars1ypv9h04t20uck5w5d43zvcua0vxlgxf6f34622,1,0, 0.684 
stars127cwa80wayk9323dzqm5vgapwnxhkd7qgpfcyc,1,0, 0.684 
stars1c5txl47ea73x9g535lefzs8u6engjrssfv8hjz,1,0, 0.684 
stars1vq0tat38jdu05muyw3gtlzx9jh6884lflg05rs,1,0, 0.684 
stars13dysgqft5q2q7a0t0skh4kxe5q4uxpvyzrd3zc,1,0, 0.684 
stars16vrpzr6hfqmmktqa9u2s0qm6qw0sd6payrkqzj,1,0, 0.684 
stars1ugmyqw3ac3te7969r2ppt0my545k68jzm9rgpx,1,0, 0.684 
stars1kq4twyclel8390nd7vh6fl5q9cefrxvjq3hjhf,1,0, 0.684 
stars1zvd8c2wk0dup5rxctysa6p0y6ruu0c34np0s8p,1,0, 0.684 
stars15x84rgw68x6v42c7drsgwng0dzt8ylvfwxf2g8,1,0, 0.684 
stars1ytwq2npcsl6wuysct3d0lcyxh6yeytsw0ma4cn,1,0, 0.684 
stars1evhrfqrcsfn09v7x8fylthlxrk2j4pc4j646ww,1,0, 0.684 
stars1tjs39lq7tal7tymq0f7pt5c03jvnnc502knqqe,1,0, 0.684 
stars1nu5jfcwjcwaqxea9m56w2gwnyaugenylrqyz30,1,0, 0.684 
stars1jtzuj4rgq930a04krdes5x5068dmhcxnr459hk,1,0, 0.684 
stars1gvp6ha48jm5hxzw6qsaarc8qjjkuqfpwlx47th,1,0, 0.684 
stars1jdj2vde2pq8mtmxxgssgerjgeyn6y2q8wznmqn,1,0, 0.684 
stars1lvq6m4p5u4yza3w55nlu6h6m0vptj3zsundy85,1,0, 0.684 
stars1rg6egwmy4570ck8aa7z772p7atasr547x3dart,1,0, 0.684 
stars1s46jmv3c05usk6yk50tyy8axc4t9rglrvdky2u,1,0, 0.684 
stars1ypl3h2y5gcfan5xyy8vdxcug7spen3q656586q,1,0, 0.684 
stars1cg8y0xknep2wkkv6a06sjy7jrmf26nyc2yzcdz,1,0, 0.684 
stars18pf09c2smpjlzjy5pphkfsjq6hz4cw0kvhfgnc,1,0, 0.684 
stars10wc2z66z8racdeggprl8kwuspetc52l8nrdm4u,1,0, 0.684 
stars1tlwqprz25j0du3z44xsy3m7yzq63z0qhwhxddj,1,0, 0.684 
stars1l0sd4kzakf6z3uz26l8ff0hg08x9etvu0nyr8l,1,0, 0.684 
stars19y0q6r3stt3k2t9aye2tnyx6kpyq5gnm4elhph,1,0, 0.684 
stars1l8tugg79yzphl73yf04ykt0mjcj5agpe632zgf,1,0, 0.684 
stars17ya0r06q209kphtuvcg2lv4p78yzqz99qrewfy,1,0, 0.684 
stars1hy2sy6t5cjyc9gvxtrj8k3umq43ujpavl4v6lh,1,0, 0.684 
stars1vhj4mmtkjke60vvcvuylg4vduhqgc8y494gn3y,1,0, 0.684 
stars1uzr3q9xfkxdqd884gxmvflu7n57pe6swglpttr,1,0, 0.684 
stars1sezunc9x6zwqldypxnn26r9mkqvvlr95fx9zsg,1,0, 0.684 
stars1yjwzr7u8u64wtdycmgj9lcn98qr29hs70g28gw,1,0, 0.684 
stars1ey6p6d3urju8s7f4n4twla7yq24pp3xu9ptez8,1,0, 0.684 
stars18y36q7yj8cnrdlduwv0k9pq237dvrad9smgw3a,1,0, 0.684 
stars13xc3jfv4jdr6uza4duh3p9etlfe4ss98ymzrw5,1,0, 0.684 
stars13293xuzergyea8a4evfl3y7m5pmam96qku7ntv,1,0, 0.684 
stars1f3cqss2xwav7wxu993cfj4lldtvqs33lwudlqs,1,0, 0.684 
stars170vcce0yaauy39mn9l4k7xrjwkfslhk2sfv3wy,1,0, 0.684 
stars1q3g2ack93wd39cuaavx7d5v0z63yc56vnc9mxh,1,0, 0.684 
stars1yxp82qlay8768867clrg64kje9dyv4y6hta3ff,1,0, 0.684 
stars10jm8fvdyqlj78w0j5nawc76wsn4pqmdxwjyelu,1,0, 0.684 
stars1c4gcfuhajkxcz88c3t6pmhmm3fklwxugyaunxh,1,0, 0.684 
stars1k0yrc6pxkzjg2jgz4vykqcr6eg26zv7u83r2m3,1,0, 0.684 
stars19e3pyu53c0c65zcdnzhd4t680pnp3m3myngv7v,1,0, 0.684 
stars1ddwrrkfmygl2gsf7wfs8csx3h9qytv690grwjp,1,0, 0.684 
stars1lgu66ly24wz0x95hkhuzny754hfm9pkuy8nttm,1,0, 0.684 
stars1t55v63cjyc6hj9ade2wz6t6u5j6llqvxfeqdyz,1,0, 0.684 
stars1zvk2aat2lkpxxdjvm0kknwf7hm4ymne80fk3cr,1,0, 0.684 
stars13er3dyaq6pyufu47rxh62sjwp2wljed43fm7k4,1,0, 0.684 
stars108qgn3w3rfp76ss20u3rmcky4m52pgarp7c475,1,0, 0.684 
stars1zg453l326xgrk5nm2prru4teqkym8zc9a7swjp,1,0, 0.684 
stars1s475d4waxa9gzhg72amdk64trlw5psddkpr84u,1,0, 0.684 
stars1y0dtrkq8g5lx6lpex5cqqq7ktm6a7ymessm58u,1,0, 0.684 
stars1703tk3dzw66ww0z8ex0arxtmryrnf22ncr2m8x,1,0, 0.684 
stars1jnhje42mwh7yzxcc459vl3vpnn9a05m6v20cde,1,0, 0.684 
stars1qmlges9ql07rd9ycfpxzrvn93s4uygwa870f2t,1,0, 0.684 
stars1tzdhtz7k04q49xrprrzxlelfq9w2cvskgneafd,1,0, 0.684 
stars1xug46uep68c3g6nx5dt8m3jvxvfdenrkzw9dm8,1,0, 0.684 
stars1x9hdyg90xqrgna7kun4dxr2e9nzdweucm9s5en,1,0, 0.684 
stars1dy6c2gvg0802ujsnkhcg3f0vuvqwypu3kay4gj,1,0, 0.684 
stars18kydt4gus90c0ml8rw7v46vxvc8qfplhe3sq2u,1,0, 0.684 
stars1e3sqt48rq0sn6ukc79h2850vh3rr8mht8hluuq,1,0, 0.684 
stars1yr3ql5g49ffqz4pme5949wv8kw5zetnxc65kwf,1,0, 0.684 
stars1gjej6szndkuaadfsu4u8mhrul6qhyfrqrpdtp8,1,0, 0.684 
stars1yclrw2qxzmyjxjry0fwusdurhkqgdag8gk4czf,1,0, 0.684 
stars14lhvu9zfa7n844zypvt33eck0aukdsa96427rk,1,0, 0.684 
stars1yjlrraspcsv5sk22l3qxn5wwgz9sv68e0d2kwc,1,0, 0.684 
stars1t9dje4dfeu3af5rc2yxsvyeu5td0a2v65axsn0,1,0, 0.684 
stars10yxgsfeg6np6aclkssrxfrmdz2ngupar027tnq,1,0, 0.684 
stars1kx0ae6pr63yhcgxjntfq7sjq7s3z6dngxgsphk,1,0, 0.684 
stars1uq6r0wajgf82pakvvff226jf6a474mr47ywnu9,1,0, 0.684 
stars16pfkyl4a3uq239hr5cleje768m4nmnxt45h07p,1,0, 0.684 
stars1elclpa4cpu3tshp9sd2r5v5gjnm6sn58g9vxw9,1,0, 0.684 
stars1xmv9u389awdw6qpvekwsnkv7zvlyh3qmmuun7v,1,0, 0.684 
stars1hmqf5d6z53akxurv4r2e5cu0f0mfzefsnkmska,1,0, 0.684 
stars1hjlswfagegg7ymu9p2vn84wqzcaf83w2qj89tq,1,0, 0.684 
stars1pads3mmgkn4j72lagu9knv7ycprdkz6jj9d5gadchcl3nd2lx74szvmmmg,1,0, 0.684 
stars1fgehzqfthcfe0xwsds738yk9r0h560qyjue4v5,1,0, 0.684 
stars1kqfjv53g7ll9u6ngvsu5l5nfv9ht24m4zmutv0,1,0, 0.684 
stars19yssr677uxtauv8hpfg4t4ystqx4dj9xsqvpfl,1,0, 0.684 
stars1rf5hprmts0h50ww7mktkly9pw9sdkyt6fqrp58,1,0, 0.684 
stars1tew5tnr97ac4j5u4e8ng5yydu5vzvhn6p8a2ak,1,0, 0.684 
stars1harmsqk0c8sq5kcjwxlzc30rdja8eagvuu05jr,1,0, 0.684 
stars1wtdxl903yrca970d5j6667el49rrkx2hzpfyd3,1,0, 0.684 
stars1munn739y67v4650ww8rsc7rtdq48pg24gxwqwt,1,0, 0.684 
stars1kxexcfqxn9ff8kqhzh7857tdpsmw0ajhnfwnl6,1,0, 0.684 
stars1szcfgdcv203t73ft5msj40qu7pep5gpkkx9alq,1,0, 0.684 
stars1shj26dpmzdg9lcpajewj9ja48m6l5dhmsr6gme,1,0, 0.684 
stars1xk9dsqx5wz44c58e2m5qes2xdgvsc5xg63pdh3,1,0, 0.684 
stars1905any22zesht2td96ycftkfe8yjdt3pr053au,1,0, 0.684 
stars12us0llnfa8avmux5k2ylsru6u4pv0mm3zr6z7h,1,0, 0.684 
stars1yhs2k5fnmvxm633d8w0anl9d88lavvfjfl2kyz,1,0, 0.684 
stars1yv74g5l0nka4nw3vy4uvk5g57lysu86s5hwum6,1,0, 0.684 
stars1hk792hvg4tl27tqg7fqeaezj8qu06u0aazzk27,1,0, 0.684 
stars1xdu3esdfwl28csw43gqzguqhznk8azfugx40n4,1,0, 0.684 
stars1556uyqcqka0hyj30hv8hdgn43upq7ez78m849q,1,0, 0.684 
stars1y8tg6rkzgwav0ef99rwa487y07vut8vt8fuh6d,1,0, 0.684 
stars18fdu02ufsmak66z4qnm6u6es3ztkhdze4ewapl,1,0, 0.684 
stars1g8huu5dyfgae727j7lzur8fv6zdzha8s53yphw,1,0, 0.684 
stars1m74zj2duq6aqunjz4syec6wtquxygrkpe6dfnc,1,0, 0.684 
stars1t9q6jxpjjvtyr0ggyj92tehaxmr92v2nkl9t4z,1,0, 0.684 
stars1psq4yhvpxq02j6vz8zdnwfuu4ydxcn0hv2m5gg,1,0, 0.684 
stars1dru3hmqqnsj6w29ydtd5yad2jnpv3mfrzng6m4,1,0, 0.684 
,,,
Total,2042,,1270
,,,
