wallet,nfts held,10 or more,AKT distro
stars1spka087gv03vw3kfavlhd2kh4ur5hak0u2f98k,10,1, 10.000 
stars154d6fqzedwa94vt3p5ftygjsxwrkt5lukuln82,10,1, 10.000 
stars1dqsmw3sryd4f8ty8sl455ym6usznmdvlryggtz,10,1, 10.000 
stars13z9gcru6grgmql8ly8j2v6qxghj856m6sy5nuk,10,1, 10.000 
stars1c7l3lvqp53fdg4ux8yvemsf540s044ne29gwk4,10,1, 10.000 
stars1h3dyx82jpsdzdrs0d5a8me7apd27l6knmdnm86,10,1, 10.000 
stars1p5zwvqdqn73zp3z0sz8q8yeetae7gqwp3fu2ul,10,1, 10.000 
stars1wzddmu9pn578wzwwqjfwqmwyamdu55cuulg0gy,9,0, 6.156 
stars1mlxynkqd9js8tkdnkk0e27lgz7x9lt866n5r44,9,0, 6.156 
stars1tkgyd0c0pjdxcu6f7z4h8g65whvdcsqhlhwguj,8,0, 5.472 
stars14rstz7gchagv6hrgxvsfyvlx5jvytth2vp5vwa,8,0, 5.472 
stars14qnswsv5vk6ylrl5j43lns8rp8e9th9tgwx9mx,8,0, 5.472 
stars1ahr7sma3kvzfhu8yzeldl2fes4dgp3hu2k8xy3,8,0, 5.472 
stars1k8tnnhgk5cype9a5ur694rfha0efzv828nl7gm,8,0, 5.472 
stars1thh4vkp62q8zf2m6lvwqjtntvdevfyjvwswljv,7,0, 4.788 
stars192guner3ahpkfegtptmw2dfxscdqvg3fkanf9n,7,0, 4.788 
stars1mej7a3lv70hlgpm0u2q0dx7s6q3jqk4agvk8wa,6,0, 4.104 
stars17v6tme9dus6u5gtx4emdgdwqz567pct3celna4,6,0, 4.104 
stars1d7sw0t3nyajddyjtvwargqkypqx0yumdarq302,6,0, 4.104 
stars1qwjzpda94a5ewa5r5ky6p8reffzu5dmud6eys8,6,0, 4.104 
stars1thvncfatxukryyceuqxh5fzvxa57sj7q6530t3,6,0, 4.104 
stars1yks4wql7ukkn8tkx7cxh037d5c4a04lmtfmu45,6,0, 4.104 
stars1wpn7vaquydf77wcrsrlmuu9m9lsd8a80qdjxhy,6,0, 4.104 
stars1yklmnxzg5ht8kys5vmusk4j4yvx5k7esvyk393,6,0, 4.104 
stars1yfgvyv3jxact4l6vkdfs0kdtsfvkd0ch8rd5tl,6,0, 4.104 
stars1nevrswxvenflzlqymn54n3nxvc4ug23qec6wvz,6,0, 4.104 
stars1k6drrhlzkdy9rmgc4ekaeathcdpn7gwgccsvka,5,0, 3.420 
stars1c3368797lh4vd2zws8fhgesg4jtgr3gzg3uedk,5,0, 3.420 
stars1v0ulf080nvcfu36ln8t6rkr4mg45mks3q952ag,5,0, 3.420 
stars1zxk9h3434pgwc69k6mvmawmkhc97zrucnzl7re,5,0, 3.420 
stars1kjqa4ew38sne0a4fqv7hv3ue3rtggdz3xnn3dk,5,0, 3.420 
stars1hchpqnczqy4enuyjqjvhksrhk2nvtlrd4lvjup,5,0, 3.420 
stars16cgl3nhhxnrw9pt4m4cnvhht3qgpv90vu7yjh2,5,0, 3.420 
stars1lqrna6lf35h82dp295d97gwz33qsr2d9sznj7s,5,0, 3.420 
stars1243yhe2plcqqkhwkl8dwv53nzvxrdye2qe6y3t,5,0, 3.420 
stars1hh4zf2tmw20fr76m3rklyfhs7dpw6wv4v3cdm7,5,0, 3.420 
