address,# held,weight,PLEB,CRBRUS,SHITMOS
stars1228wng0vsu6afsn4f0hv6xchkfefcj7m9vgfkh,17,0.033333333,104242.9667,1039638.667,686.4666667
stars1wv8s3cflrukukpe8wt0t246ewamshqlnrq789s,16,0.031372549,98111.02745,978483.451,646.0862745
stars1v72k4jfn2kd098gkgle4e36cetelcya7gv0l3z,14,0.02745098,85847.14902,856173.0196,565.3254902
stars1kgc2pfavpt03kjpkw27znh3aag6z7840x8f5ys,14,0.02745098,85847.14902,856173.0196,565.3254902
stars12kct4cfuwh7vevec7c4y9slmee949qrjp5ds2x,9,0.017647059,55187.45294,550396.9412,363.4235294
stars1340wwpwvp703vrjj48zr2flmw802k2mcask5pa,8,0.015686275,49055.51373,489241.7255,323.0431373
stars17pe4wffe5n094v9xm3v0jyvj38z3rzuss30lex,7,0.01372549,42923.57451,428086.5098,282.6627451
stars1dznmdhxetthsf2k8ecajjspmh3d8cms4hxvpxe,6,0.011764706,36791.63529,366931.2941,242.2823529
stars183sqv5w0dut265x397j7srgqcyu0dg0tqd44sh,6,0.011764706,36791.63529,366931.2941,242.2823529
stars1fknp935wmndpcvf3vkp8zxv3lxgzzy2w7dfpnq,6,0.011764706,36791.63529,366931.2941,242.2823529
stars19uf9yk3h3m0ztn0zk60llj5l6mu93xpmdyummk,6,0.011764706,36791.63529,366931.2941,242.2823529
stars1jzt962czzt3ruwsapec9fzmrm7kcj442vjk36c,5,0.009803922,30659.69608,305776.0784,201.9019608
stars1axf82n3lw95hh8eufyuyky5wcs76nymrwuakmn,5,0.009803922,30659.69608,305776.0784,201.9019608
stars1eu63507y6zpk87xs99dsvmxdc5cjmgwvgj6qms,5,0.009803922,30659.69608,305776.0784,201.9019608
stars10mkczsrf8snhdhazkf7lav2hjdctyupv8q26en,5,0.009803922,30659.69608,305776.0784,201.9019608
stars1xex5n5q54qh5n7vslz9tls6k543hah3huh7dxn,4,0.007843137,24527.75686,244620.8627,161.5215686
stars1chlpr5rzmk99ctx082ekeh4zscvjjeca0pm0e5,4,0.007843137,24527.75686,244620.8627,161.5215686
stars150n9yyjauuvgzhg0w6p7wku7847rc2vc5vq36d,4,0.007843137,24527.75686,244620.8627,161.5215686
stars1j7s03eywd9tjgpaq5v8cqdmjqgdh0k5j82z8ek,4,0.007843137,24527.75686,244620.8627,161.5215686
stars1yfgvyv3jxact4l6vkdfs0kdtsfvkd0ch8rd5tl,4,0.007843137,24527.75686,244620.8627,161.5215686
stars1wryt0g4g7h8eldzankzpx55kraljjepxs9hguc,4,0.007843137,24527.75686,244620.8627,161.5215686
stars197azlmrp8wvz4446jfnxu605snegznl4f2wvt3,4,0.007843137,24527.75686,244620.8627,161.5215686
stars14dy93awv3x3l222argjg22vlyutrwqqgcml4gp,4,0.007843137,24527.75686,244620.8627,161.5215686
stars1mw6l2gd2l0jt8phz7yz5l7vyfl4h2qpkcvfc7f,4,0.007843137,24527.75686,244620.8627,161.5215686
stars195uj7x3fst0pxm7vcwxdk8t05w6fnqwwu5hk9t,4,0.007843137,24527.75686,244620.8627,161.5215686
stars185yv4ka7ymn3f6meq7k3g42nxrgfeykjkua59c,4,0.007843137,24527.75686,244620.8627,161.5215686
stars1f9v2zr08heg520zyq5luklats2rxx4ta0yeug2,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1mge6lnd88kvrm0t4088c72q5ue33qhsy7nu2yw,3,0.005882353,18395.81765,183465.6471,121.1411765
stars10a29hu7chl55ar4wsyjueqxc7smudpvrjlh53k,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1ev6skugnl2lgsj3ts6y8j4563j7qs4vtlvgqgfcwqum840xzu7tqythx58,3,0.005882353,18395.81765,183465.6471,121.1411765
