address,# held,weight,PLEB,CRBRUS,SHITMOS
osmo1228wng0vsu6afsn4f0hv6xchkfefcj7metvyt5,17,0.033333333,104242.9667,1039638.667,686.4666667
osmo1wv8s3cflrukukpe8wt0t246ewamshqlnl862cn,16,0.031372549,98111.02745,978483.451,646.0862745
osmo1v72k4jfn2kd098gkgle4e36cetelcya75ttjvp,14,0.02745098,85847.14902,856173.0196,565.3254902
osmo1kgc2pfavpt03kjpkw27znh3aag6z78406qdeen,14,0.02745098,85847.14902,856173.0196,565.3254902
osmo12kct4cfuwh7vevec7c4y9slmee949qrjanfah9,9,0.017647059,55187.45294,550396.9412,363.4235294
osmo1340wwpwvp703vrjj48zr2flmw802k2mcphjeu7,8,0.015686275,49055.51373,489241.7255,323.0431373
osmo17pe4wffe5n094v9xm3v0jyvj38z3rzusvktjy9,7,0.01372549,42923.57451,428086.5098,282.6627451
osmo1dznmdhxetthsf2k8ecajjspmh3d8cms4tpgvm6,6,0.011764706,36791.63529,366931.2941,242.2823529
osmo183sqv5w0dut265x397j7srgqcyu0dg0tu23cd5,6,0.011764706,36791.63529,366931.2941,242.2823529
osmo1fknp935wmndpcvf3vkp8zxv3lxgzzy2wz2dvwr,6,0.011764706,36791.63529,366931.2941,242.2823529
osmo19uf9yk3h3m0ztn0zk60llj5l6mu93xpm3rckx4,6,0.011764706,36791.63529,366931.2941,242.2823529
osmo1jzt962czzt3ruwsapec9fzmrm7kcj442s4ju8m,5,0.009803922,30659.69608,305776.0784,201.9019608
osmo1axf82n3lw95hh8eufyuyky5wcs76nymrjmemxs,5,0.009803922,30659.69608,305776.0784,201.9019608
osmo1eu63507y6zpk87xs99dsvmxdc5cjmgwv547dxn,5,0.009803922,30659.69608,305776.0784,201.9019608
osmo10mkczsrf8snhdhazkf7lav2hjdctyupvm8whys,5,0.009803922,30659.69608,305776.0784,201.9019608
osmo1xex5n5q54qh5n7vslz9tls6k543hah3hqs6qms,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo1chlpr5rzmk99ctx082ekeh4zscvjjecanxlzyh,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo150n9yyjauuvgzhg0w6p7wku7847rc2vcgtyu8w,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo1j7s03eywd9tjgpaq5v8cqdmjqgdh0k5jmdx2y4,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo1yfgvyv3jxact4l6vkdfs0kdtsfvkd0chmyfeku,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo1wryt0g4g7h8eldzankzpx55kraljjepxvzn9pm,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo197azlmrp8wvz4446jfnxu605snegznl44d2pkj,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo14dy93awv3x3l222argjg22vlyutrwqqgyumc4z,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo1mw6l2gd2l0jt8phz7yz5l7vyfl4h2qpkytd4r2,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo195uj7x3fst0pxm7vcwxdk8t05w6fnqwwqnnmcg,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo185yv4ka7ymn3f6meq7k3g42nxrgfeykj2meecm,4,0.007843137,24527.75686,244620.8627,161.5215686
osmo1f9v2zr08heg520zyq5luklats2rxx4tanra34f,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1mge6lnd88kvrm0t4088c72q5ue33qhsyz5c8ed,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo10a29hu7chl55ar4wsyjueqxc7smudpvrwcnev4,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1ev6skugnl2lgsj3ts6y8j4563j7qs4vtlvgqgfcwqum840xzu7tq83teve,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1c0alnmdraq35ds7v7k4fcm3322dx6v7ydghx3t,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1mlxynkqd9js8tkdnkk0e27lgz7x9lt86x5swgk,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo14vth44qnn7sus6e5mgdrpssgcd6ke4p7ws4mmj,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1thvncfatxukryyceuqxh5fzvxa57sj7qxn4zkj,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1m74zj2duq6aqunjz4syec6wtquxygrkp9afywm,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo10grfh2ayswcdxgs5r0m7l48uj0u07wzd9ue076,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1njgpaj034ytpvhr9h8zcrzt7hwe38wrgjgvfv2,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1z5x07m62laz6thm8quanqgvg42gz99s8dkasad,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1ldyrv5nynqnwjknqmklmcnq95utqpz3rqkeg5a,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo19kh5z7ujuuf4vlrphecw50vgywemdd7x9snckd,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1hheryepdqyamzy4vsh7alcjlwq5k0kfmvm57c0,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1d638gncyvhsx9zqg8y9hsaz8tge8vunegcgxd0,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo17drl3u8mxy8nyz5fcrudnf5cjagst7kvn3eys0,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1vu0783q72caqtyf06reqkrf583l9xtqztqzsd7,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1k9ng85nlhlc94865c3c0znygr7h3kre5xv066t,3,0.005882353,18395.81765,183465.6471,121.1411765
osmo1g24a5v2ul92ypqdkh2c2vlxhg37qx9dcwpkq3j,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1rxtlgc5xw9anlkasady7ukfrppktl950tvwv3x,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1qqgga7z7frzmmavqh4a3ypyh0z5hd2y7zuw4x4,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1tnyrxmdk6jtw8vqsq74z8t8y562mgcf7ewx638,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1x4nwcsuhn0dywtncclt5x73fff6c9spp5dtvkd,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo130tcpz6l0j9f382prlj67r29jmr25cgppllqrq,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1gevw3t2n7ffy9ddhel2600skw6e8fctazn7ns4,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1xzxryre49s6w6f4lay76kpm3w6cj85vjt0mln8,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1fd2wxqhwd7jtvsgkjpwjpkqjrh7j3mdwy6wf6t,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1c9kh306pjhaau6qugvt6w3eeg9w2ckqfm269c4,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1qkjcqvwclse06h5zvznhnp9ngvzz74z5ah0edq,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1hsr2jqc7fwzn8ef393kjt59k2uu8evft9vzn5x,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1uq5veg6xs5jyu70cygptuput46fhdkpecqlswe,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1442jxc2sdh0rpw20lt0w2gep50kypjy3ymmt9f,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo14q4c6kgg7xegcc88naqt6f8fz2skuzcztvv2r2,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo19lhtm9yrpkmnwfufl3tm30tdrchr7w3kex7sz7,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1a54h7el7rgjhn6tj3sq2mtwk77gy2rdwadh44q,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo14l84dwp5dnruxdfxewkx5qsxx6fjvffu4jtwxz,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1czw8kd733420g0wpgt7kptprd2ql9dwzy8hrvx,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1t9q6jxpjjvtyr0ggyj92tehaxmr92v2n2cpxgp,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo12hz5qf6sgyu37jemuc4dav9vpq2aq0h3fmpukf,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1sldmn09mjjnsw7cmrf30048dxguc22hyz7hryh,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1d74f6c7rgyyym57530rc2tt88fnl6wpdyxxhk7,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1sle7pxe2m4g0fphvrtyzvek3wqs2509fp43v39,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1r4a7427fdnp2cxwv4cjnygaajcgs7f6956jruq,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1aptm96zt5xq4kf6q386e0mf23j33sekd3n4wy6,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo104aavf30j5uwvw2nnnmnp45hjzx60sdqjtd3a3,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1vce8nxgqdd02hkk63mzh6v7dhk3grputqny8eu,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo12s7cfwfj3jc8f89cw8ws0jfaux37tyjwwe79za,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo125n4hrr20ts0pp0nqpu8yhpakvs8qyer2es9yt,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1xk9dsqx5wz44c58e2m5qes2xdgvsc5xgxk9q2j,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo10qe9qaquelt46cd8a7qcrmu0dv22tjc3wfss3n,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo13wst3dq24fpaympcpzf0889wswt3wu7tuxdyq7,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1rts33gaex2hnp45yjqzenxk263jmczw0w3vkwc,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1ernjwclnurt8r7fz5ef96h89a3q9jmsez6qur9,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo10dmz3m9az53sa59fjmlea7wsjdme95yjnhstxh,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1u5ymz44e776v2uas3ewvsnc7tkq66fu68jynkn,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1agn6f0dsw22zda0kvrpadlspkrudmdlug38mrk,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo19k3l0z5txzv2w3kr28lhs49dfd65sv6324dlll,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo14g89jqm5muw6qapnpn2qreqfl9t5yehnjqpx5j,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1e0v5qu9hknmtpy3ha0ye9vh2pqvsdn8hhmjngp,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1r25cvjrmgywym6jdrp7flhf3z4s0k9mxt3hhsr,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1j70r8ptd5th7z96q6ys7sydurzpcenlxcan8xf,2,0.003921569,12263.87843,122310.4314,80.76078431
