address,balance
osmo1pv5c75adfa0fxekaap2sl5jfunkmqee4p3wgct,2.0
osmo1pwh69yww9h5dqkjtlfdcs8zqvktzngk50et5r3,2.0
osmo1pwexn4tjqtkx43pswt4hjm2x0fk9pe2cfme40a,33.3
osmo1p0yrw4lawfafed3gpsr3andz8mc0skcducluyf,33057.737497
osmo1psxjn5qzd839jde8p922l4ly0c4m8w0zhw06c5,2.0
osmo1psdhnw746sej28ruup7uyk8ym227zl6e5t4zhu,6035.52
osmo1p33psadnw25a9c7x7w5ltjgewk2rtefmdu7u3m,1.947516
osmo1p3nf9fhf86qnyxuyes3flt0hg97a60lzscntne,33.3
osmo1p34krywk2xt67yz0ju4c5dzz5u6lurs074gxsm,2.0
osmo1p3u8l2zdnlaq0a24q6dkdqquxyd66nqslxmhkr,2.0
osmo1p3ud7j6g4f489uwwgghdeyedprj2w98zkud6da,35.52
osmo1pjgrju2eyt8aescxavjmzrgjttg0ph9ffftpym,6.66
osmo1pn9q8dqmgw2uf4d5ujy4hlzg43umz4rhaw4qsh,33.3
osmo1pn8nw8mu3je4wtjmsxtshu250h930t30xlyxkm,13.32
osmo1pn43w004fn53fsswwu758alezvzt40vplex7a0,2.0
osmo1p5q89xncqd79l6kdssf72zfe42lun0tun6seta,2.0
osmo1p5xvfl8hu56046sc9s2yghzysnr6vxnvft444q,2.0
osmo1p4js0h9rxyjh0yvw5meqx97r8yvcnpch5c8qwu,110013.32
osmo1pkpsclxs8x2hce0zqslmuaey0hrvfcmfavzv48,2.0
osmo1pccyqz6f7jrpx8rupknn9yad4t4pkvphmrys0l,6.44
osmo1pe8hvlgd5ae3k9r99k569egc8rwujnj86nddrf,24.44
osmo1pe3sf3etfl7ymzt5axx06sx30xsghhuy97lm2j,8.871589
osmo1pehvghr7mzgmlm96yasv08n42plp0h3ws892yu,35.52
osmo1pe6my32zlq0c9x8efxcygw6x20nc7fadvaf4v4,42.18
osmo1pemt63zctpxtmarevrjh0mwrv9mapnpy54v2dp,4.0
osmo1p6p0wwcgxj9alaj27f2ggzp7zsx307slagu752,19.98
osmo1p64d8tal0tc02csp0h9cflxr0lfcaxqxvxh7k9,33.3
osmo1puwu5uv5sjdvyf2yvkx6aqc806vyjjfhdh7wc4,33.3
osmo1pacyf8s34xc7wzaxrcw7m256yc5ksa3ahrr7n8,4.0
osmo1p7txaqrjkpykn8exkjwpwek66x6uuqnpvu6k5q,12.278293
osmo1p758gkqucexdh5fennt56d7rtf4ushgvurpstd,2.0
osmo1pl28m89kw04w73wxaxg5gwswd5sqvluqnj2wqx,2.22
osmo1pls6ps584ymly39fmudhge0q9m4jmdx2r5jrgn,2.0
osmo1zqrqju2txhnnwtgn0d2jutnassmg9733kdh0dl,412.933965
osmo1zq89xa0r9u6dhl6nvfsse26759spsylqm8eawm,3.9093
osmo1zq3kfatr9fy0fdp6slz5hfkfg82l6q4s39mftw,2.0
osmo1zpk469u89zzuwmqf9u5t4dvkplhenuqsh85p2j,3.071494
osmo1zz02wg0pvr2rz3jrefn6z0ayvclhfvrxf7ncdf,4.0
osmo1zrfve7s5450lxrmjdz2nwwwjvr5d0ehlcs8s65,42.18
osmo1zrmwvawvxu0h8zcw4yw407mhqw0rzm8a0ttvak,2.0
osmo1zr76txfh4ey7c7ul9chl0zqln4fmx0pd9a3wrz,2.22
osmo1zypudy8lggdlh4m4u34va40xlh099gu8rq22hy,2.0
osmo1z9r97htdqtgnulcuxenxfdt6hhv7twj6zvwy30,28.88
osmo1zxp8vsjazw944pyccr7rhvxdatl7dj3k9h2658,32.2
osmo1zx3wcr0yxgc7dmu303932srldw8c69p8y90kyg,35.52
osmo1zxk9h3434pgwc69k6mvmawmkhc97zruc09mn76,33.3
osmo1zxmky65ht2tmvhswxqk7vkw8tpnj7vlphavm9z,35.52
osmo1z84x44mz2vye25vxkhlp4malu6ktuk7um9lpwp,7176.65012
osmo1zg9tz3m5t64qjvckd94n5luduz3wpejjp5hnat,2229.758996
osmo1zge9wp6e2ty6u4h75qqdfwmhgat7wtxtxxfjla,2.22
osmo1zf9pp6x64mrqaptpawed0klqrtv2dyqrpzpywj,2.0
osmo1zfdh9jslt8ldzwnvw8pkldyx6l9vxkhv7w7sg4,22.22
osmo1zfh6ccddln9e4fkwse7fcquvecpnnxyk0c9elv,631.214088
osmo1z28n9utzj7qtj3p8aqafl6uqjxakx2fjep6lnv,122.14
osmo1z20fshhnq8fg2l2nz5fwxclm6gflzpgtc84u4x,2.22
osmo1zvgz5ryz3rn0slt269cpqvhx8k63jpzf7pgvrj,159.094568
osmo1zvd8c2wk0dup5rxctysa6p0y6ruu0c340xta6z,6090.717059
osmo1zvh3sxfwe03h9q3jgdhfksj5zhv5nu4v4aay05,35.52
osmo1zdq46hsm6m66slmn62rw60gw24krjzwqs6qrgq,2.0
osmo1zdfj3a60u7kpky5un95trwlfrq0rl4mn7s0uv5,35.52
osmo1zdmw5ud2g9x0ztptggwq3l39dg96wmtf2tnr96,2.0
osmo1zw8f2j0asw2x7d86wegvews959r6fgep28q7t9,35.52
osmo1zwgxcr8xjj56slydh9akqsd0csmmcvjk8qhw5t,2.0
osmo1zw3xlh7v5fj6nr6mnsjuu2z3hv6wjqskwgjekk,35.52
osmo1z0nvmv57cqax4s6lssft9yhfn8ksxcf7ryht54,140.225443
osmo1z05s6xu7c4z7s6wxg80ftauxvvszz36lmn9lwv,2.0
osmo1z04hs2hhqz66409lvjuk42g7c0ne72uzcpargc,2.0
osmo1z0ux6q9qw0xjhhy86wgevy8u4zd5nvhj2zeg53,130738.52
osmo1zsp79xqjsa3x8ufe0h0xhxn9w288r96muyqywg,35.52
osmo1zs079m2ahaks2t25mk0xp776npnvtyk69hvgfz,35.52
osmo1zs3c9g4cwdul0nxumaye5vesznta86ch2l4g8a,142.14
osmo1z3p5gkh62r0nhfu69w2l9064chkw52yep3nurq,2.22
osmo1z39n3vrfzr9xyc2tl7hxuwzw0vzlg5d9t2yy6w,35.52
osmo1z30pluzn357unqxje6z2peshkxwnpeftcuggqj,35.52
osmo1z359drthqhsw469rxczzsq3hh6mg8pxevvcatj,35.52
osmo1z3hhg3ngrl6ld7g5gcr8q3na8lpe5ly8wzm0ta,33.3
osmo1zj2vpvjp2cr2950r350zp67py5wsnn6ez5s8d4,2.0
osmo1zjjmz9fxflzvf6dj70azuvwah5lcq4zxtp23jz,2.0
osmo1zj44mywg86zc3c7h7sk3luv0zldzhad3huf53u,2.0
osmo1zja9xayj0jqyasva3t2tmsaf2y0shywm29rm22,33.3
osmo1znaj4lqyds2jsg9tpmwt59r0mxn85at40nzhe8,3.93583
osmo1z5x07m62laz6thm8quanqgvg42gz99s8dkasad,2.22
osmo1z5xjwqtenxnlh7r67yj9e8akqx04aryjrekete,31.08
osmo1z58r43cqfvyls75kacvckxk7r9namdaynxkq38,35.52
osmo1z55e5anfgyx45jzlcpvrhcueavfv5xgg4s649q,35.52
osmo1zkn60glm0lqknd7hrcaxua5ak2wxeeu6gqwyat,509.516852
osmo1zhpskvpe6pc6qycdw9aypygzd0yg6fc5dw8fku,37.74
osmo1zhzz6m39ua8lmfrhg7hzq30ngmmwjeerq5qef3,6.22
osmo1zhv6enwzn04gsx70755xluxs6n62fwxj76asgm,2.124712
osmo1zh5cnayj22t5slxppfdha0g9vtg2zwt5w4mhfd,2.0
osmo1zcy7h9vpj2g4w0xw3ta3ky977z6e6ht0d2jl4j,7.579204
osmo1z6tc4eaal6zymqnuf6y547n5fcs7pv27z4xszs,35.52
osmo1z64amnsgslu3aqtqs8a37x0e7qt2tuc32vnys9,1127.980444
osmo1z6k6cpdcthpgfk2px4lflu8ml0jkkpr4s0w47j,24.42
osmo1zura2mnf8hyju0nw7vv90g6ggvgnp9kq4vukr0,2.0
osmo1zue3u2ctq6l6vrucwg6qs0twyx9h36nt32zn42,35.52
osmo1zaxgw9hhyvztzw85zxwkucykjtdqxc06spukpg,2.22
osmo1za2uuu8w5h79rq78tvd9hj4gqyg9lsqm5fvqxg,4.0
osmo1zav5sx9quvzzxvzsl6jyzd50rlhvr0qnyr7l9q,28.86
osmo1z7v997y4wmjf07fk8mw3wryzwnk7xta47h57ue,33.3
osmo1z7j0ftauwfpngvaz7rqwv4rmj639mqh5y29ap5,21.9892
osmo1zlzqugu38wv4my0lfyltvfnfce5l5vtv0q7far,0.013955
osmo1zl5cxgxj5hmp4zk2thyql8xcxw9w7gn3rw2yex,4.132347
osmo1zlkct3s6ze0gppcjfk3pdz5qyma9zn9xldn06v,2.0
osmo1rqx7h77w3gjvwxekg6uecnfsxjdz98hpqecp0x,57.72
osmo1rq8cgegnkkr02uyy43arp5rqzmnsw7e4rf4zhf,42.18
osmo1rqghfnn4hwmphs6p72xmehypxah5638k4dgqap,42.18
osmo1rpj7hhhua5slwz3fmhynwglskfljkg5mv8rfvn,35.52
osmo1rp4fupd6gkvl4e6lueed33ptqy9gd3mj67sljr,4.44
osmo1rzuh2fd6stdh3f078asfy8cge6wvj9nlx0agzn,33.3
osmo1ryre0akzpm8dptgunewpnau93hrxh6srq62d6p,35.52
osmo1rygyppvm9g33grcvmrmhj9jf9ztcvcd725qp4n,42.18
osmo1ryu0507zcwksygs4fw0pzc67zvl899hs77c2j3,37.097405
osmo1r9t2gde8f82whdg7hyjumwp2xw30jnfthu0aeh,2.0
osmo1r9jc2234fljy93z80cevqjt3nmjycec8aj4cc6,70.36646
osmo1r9nzxder25qz0fpkj5m7n9sh8x9ptqp3vu7q8u,2.0
osmo1r9k74ntguz4lyvz7wzmhuay0acx2z0pqa67csv,17216.437371
osmo1rxtlgc5xw9anlkasady7ukfrppktl950tvwv3x,33.3
osmo1rxdarrt6kg0z8hjquajqa3txppuwlgqhhmlc4s,2.0
osmo1rgf72f8n2x24ma34n9phktt686yj9yzg35xayp,33.3
osmo1rg29cmtrqaj8ggzt54allfugz9luum2qq7v4te,2.0
osmo1rgv0puw8xklr9f90hsw0za4dlpahygtygvdgfw,2.1
osmo1rg6egwmy4570ck8aa7z772p7atasr5476kfs7g,2.0
osmo1rfrfnkjc3t9zh9hn96p327cjyytk48fclxlpsl,2.22
osmo1rfv3z48w8u8hh744kkrl85rquhus2yzvh5kl3s,2.22
osmo1rf5hprmts0h50ww7mktkly9pw9sdkyt6488vfy,0.22
osmo1r25cvjrmgywym6jdrp7flhf3z4s0k9mxt3hhsr,35.52
osmo1r2hlf8f35t5qntwx07sex0uvh2y5rf6cntgt2s,35.52
osmo1rtq3yj9c2xehldkgtujcc4064s6kvqxatg58h9,13.32
osmo1rtrlp5tk4ql6zuxpy4dyuvh662ut380vwkf9fx,2.0
osmo1rt9txg5uvwnuu7n05usllq7t7fs4884pfmezlr,33.3
osmo1rtwqzfp7rd9ex99yyq0fzl7nmlzwpsrthnlr5u,2.0
osmo1rts33gaex2hnp45yjqzenxk263jmczw0w3vkwc,33.3
osmo1rtc9ymspxvq6ejt7ck39fm2wnnmy6xv5cmy805,277.5
osmo1rvy8flj7h0tmvz2zw397h85n34szfkvsf37slq,2.0
osmo1rv2vy872q44q3gyekvcwagwh4kwtg83h7klwuv,2.0
osmo1rv38y4sstk828lnzthspwv56a8t0hedtn6armr,33.3
osmo1rdwpkewh9yhu2trzkyck2nm0u5pa4pts7n07jn,2.0
osmo1rwydv5jdmt8lje45ylxtr56aaw3e59nsal4l7v,32588.942634
osmo1rwtvhj3k3u0y9ck5x9qkgsmh9ntfyydns5gmz2,31.08
osmo1r0p3knrp2p6xqeg37zvvznkd453qnpdpx43prz,2.0
osmo1r0g0k4l57866nwnmhw577q5td8vq26sk7k0tnr,35.52
osmo1r0ghv5k4g0xcved3v3f7u8fug5l77rk5n5kg0c,1.985875
